"","Feature_Desc","Count"
"1","Tennis Court (Outdoor)",147
"2","Play Area (ADA Compliant)",119
"3","Baseball/Softball",114
"4","View",100
"5","Paths",98
"6","Restrooms",93
"7","Soccer",74
"8","Waterfront",59
"9","Woods",52
"10","Basketball (Half)",49
"11","Picnic Sites",49
"12","Restrooms (ADA Compliant)",48
"13","Boat Launch (Hand Carry)",44
"14","Hiking Trails",33
"15","Paths (ADA Compliant)",33
"16","Wading Pool or Water Feature",32
"17","Weddings and Ceremonies",32
"18","Green Space",28
"19","Play Area",26
"20","Basketball (Full)",25
"21","Lawn Bowling",3
"22","Rugby",3
"23","Boat Moorage",2
"24","Fire Pit",2
"25","Flag Football",2
"26","Horseshoe Pits",2
"27","Pool (Outdoor)",2
"28","Skatespot",2
"29","BMX Dirt Jumps",1
"30","Bike Polo",1
"31","Community Building",1
"32","Disc Golf",1
"33","Marination Ma Kai",1
"34","Model Boat Pond",1
"35","NO Beach Access",1
"36","Pickleball Court",1
"37","Picnic Sites (ADA Compliant)",1
"38","Scuba Diving",1
"39","Skate Dot",1
"40","Tidelands",1
"41","U-8 Soccer",1
"42","Zipline",1
